City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,kavaratti,10.5669,72.642,300.35,68,8,2.93,IN,1680384844
271,shasta lake,40.6804,-122.3708,285.55,92,100,0.24,US,1680384844
272,bagdarin,54.4333,113.6,261.62,54,100,2.55,RU,1680384844
273,high level,58.5169,-117.136,269.21,93,100,3.09,CA,1680384845
274,safford,32.834,-109.7076,298.66,9,0,3.6,US,1680384845
275,crotone,39.0851,17.1178,286.59,61,100,6.33,IT,1680384845
276,ola,59.5833,151.2833,269.9,92,98,2.07,RU,1680384845
277,maldonado,-34.6667,-54.9167,292.16,72,21,2.42,UY,1680384846
278,kampot,10.6167,104.1833,297.18,78,100,0.6,KH,1680384846
279,sechura,-5.5569,-80.8222,302.03,68,89,6.84,PE,1680384846
280,bukene,-4.2333,32.8833,290.11,94,32,1.39,TZ,1680384846
281,ust-ishim,57.6935,71.1665,271.63,71,83,4.96,RU,1680384846
282,klaksvik,62.2266,-6.589,279.66,96,99,5.73,FO,1680384847
283,mokhsogollokh,61.4681,128.9203,254.41,89,78,4.29,RU,1680384847
284,san policarpo,12.1791,125.5072,298.79,81,29,2.38,PH,1680384847
285,kathu,7.9178,98.3332,299.05,75,38,2.72,TH,1680384847
286,la palma,33.8464,-118.0467,299.21,49,0,5.66,US,1680384847
287,saint-philippe,-21.3585,55.7679,297.92,83,45,5.06,RE,1680384848
288,atar,20.5169,-13.0499,303.31,7,0,3.52,MR,1680384848
289,koutsouras,35.0339,25.9469,289.32,80,52,4.59,GR,1680384848
290,saryozek,44.3583,77.9753,270.47,39,0,1.43,KZ,1680384848
291,kutum,14.2,24.6667,292.24,12,11,3.55,SD,1680384849
292,bilma,18.6853,12.9164,297.38,6,82,2.96,NE,1680384849
293,nargana,9.4428,-78.5906,299.49,82,100,7.14,PA,1680384849
294,havoysund,70.9963,24.6622,271.28,68,100,7.61,NO,1680384849
295,presidente dutra,-5.29,-44.49,296.97,95,100,1.4,BR,1680384849
296,achi,8.5682,-74.554,304.89,59,100,1.62,CO,1680384850
297,sarangani,5.4033,125.4636,299.83,81,93,4.22,PH,1680384850
298,yerbogachen,61.2767,108.0108,246.5,100,26,1.94,RU,1680384850
299,korla,41.7597,86.1469,278.54,22,0,1.6,CN,1680384850
300,ostrovnoy,68.0531,39.5131,265.66,89,90,3.31,RU,1680384850
301,edson,53.5835,-116.4356,280.23,26,0,1.54,CA,1680384851
302,georgetown,5.4112,100.3354,301.11,92,20,1.03,MY,1680384617
303,clyde,41.3042,-82.9752,279.01,76,84,8.73,US,1680384851
304,tessalit,20.1986,1.0114,299.04,8,0,4.44,ML,1680384851
305,santa maria,-29.6842,-53.8069,294.76,49,0,2.06,BR,1680384851
306,xining,36.6167,101.7667,275.53,85,100,0.96,CN,1680384852
307,khingansk,49.1167,131.1833,275.25,55,100,2.38,RU,1680384852
308,waipawa,-41.4122,175.5153,291.53,67,41,6.98,NZ,1680384852
309,hambantota,6.1241,81.1185,297.34,100,20,1.03,LK,1680384852
310,college,64.8569,-147.8028,270.41,54,40,3.09,US,1680384852
311,hegang,47.4,130.3667,278.67,53,100,1.41,CN,1680384853
312,broken hill,-31.95,141.4333,284.64,52,0,4.93,AU,1680384678
313,goderich,43.7501,-81.7165,274.33,80,100,9.77,CA,1680384853
314,mananjary,-21.2167,48.3333,297.56,88,98,1.15,MG,1680384853
315,zhangye,38.9342,100.4517,276.11,32,100,3.97,CN,1680384853
316,kaoma,-14.7833,24.8,290.61,98,100,2.04,ZM,1680384854
317,saravan,39.7196,45.6483,269.94,95,100,1.17,AM,1680384854
318,dzilam gonzalez,21.2833,-88.9333,303.38,58,26,5.19,MX,1680384854
319,alexandria,31.2156,29.9553,288.97,64,0,1.93,EG,1680384569
320,cayenne,4.9333,-52.3333,300.17,74,40,5.66,GF,1680384825
